ID,Country,Year,State/Region,City,Type of E-Waste,Brand Name,Model Name,Device Age (Years),Condition,Material Type,Weight (kg),Hazardous Components,Collection Method,Recycling Facility,Recycling Status,Recycling Method,Reused or Refurbished?,Environmental Impact Score,CO2 Emission (kg)
EW_00034,USA,2021,California,New York,Keyboard,Lenovo,Lenovo 1546,5,Obsolete,Plastic,0.67,Lead,Pick-up service,Eco-Friendly Disposal,In Progress,Chemical,No,Low,1.47
EW_00035,India,2020,Gujarat,Mumbai,Smart Light Bulb,Oppo,Oppo 4291,7,Working,Mixed,0.18,Brominated Flame Retardants,Pick-up service,Sustainable Materials Recovery,Pending,Thermal,Yes,Low,0.36
EW_00036,UK,2021,Manchester,Glasgow,VR Headset,HTC,HTC 3048,5,Damaged,Ceramic,0.88,Lead,Drop-off center,GreenTech Recycle,Recycled,Chemical,No,Medium,2.64
EW_00037,Australia,2022,South Australia,Sydney,Smart Door Sensor,Nokia,Nokia 2137,2,Obsolete,Mixed,0.29,Cadmium,Municipal collection,Eco-Friendly Disposal,Recycled,Chemical,Yes,Low,0.64
EW_00038,Germany,2021,Bavaria,Munich,CD/DVD Player,BlackBerry,BlackBerry 3514,4,Obsolete,Metal,1.44,None,Retail take-back,Green Earth Recycling,Pending,Hydrometallurgical,No,Low,3.17
EW_00039,UK,2020,London,Birmingham,Headphones,BlackBerry,BlackBerry 8779,1,Damaged,Plastic,0.42,Lead,Municipal collection,EcoTech Recycling,Disposed,Hydrometallurgical,Yes,Medium,1.26
EW_00040,Canada,2024,Manitoba,Edmonton,Smart Home Device,Asus,Asus 9203,7,Obsolete,Mixed,0.13,None,Retail take-back,EcoRecyclers Inc.,In Progress,Hydrometallurgical,Yes,Low,0.29
EW_00041,Australia,2021,Victoria,Melbourne,Monitor,Nokia,Nokia 3066,3,Damaged,Rubber,3.14,Cadmium,Pick-up service,Global Recycling Solutions,Disposed,Hydrometallurgical,No,Medium,9.42
EW_00042,UK,2022,Liverpool,Birmingham,Smart Plug,Google,Google 6657,1,Damaged,Ceramic,0.25,Lead,Retail take-back,GreenTech Recycle,Disposed,Chemical,No,Medium,0.75
EW_00043,Japan,2021,Hokkaido,Yokohama,Smart Plug,Google,Google 6146,4,Non-working,Mixed,0.16,Brominated Flame Retardants,Pick-up service,Sustainable Waste Management,Pending,Thermal,Yes,Low,0.38
EW_00044,Brazil,2024,SÃ£o Paulo,Belo Horizonte,Camera,HTC,HTC 7916,10,Obsolete,Ceramic,0.74,None,Municipal collection,Sustainable Waste Management,Recycled,Pyrometallurgical,Yes,Low,1.63
EW_00045,Japan,2021,Osaka,Nagoya,Tablet,Asus,Asus 6336,7,Non-working,Mixed,0.77,Lead,Municipal collection,GreenTech Recycle,Recycled,Mechanical,No,Medium,2.77
EW_00046,Canada,2020,Quebec,Toronto,Fax Machine,Gateway,Gateway 4636,1,Damaged,Metal,3.18,Mercury,Pick-up service,Sustainable Electronics,Pending,Thermal,No,Medium,9.54
EW_00047,France,2022,Nouvelle-Aquitaine,Bordeaux,Projector,Motorola,Motorola 1628,3,Non-working,Rubber,3.98,Lead,Pick-up service,Eco-Friendly Disposal,Disposed,Hydrometallurgical,Yes,Medium,9.55
EW_00048,Canada,2021,Alberta,Edmonton,Smart Refrigerator,Samsung,Samsung 1814,9,Obsolete,Metal,63.14,Lead,Drop-off center,Sustainable Waste Management,Pending,Pyrometallurgical,No,High,277.82
EW_00049,France,2022,Auvergne-RhÃ´ne-Alpes,Toulouse,Smart Refrigerator,OnePlus,OnePlus 2108,7,Obsolete,Plastic,58.67,Lead,Municipal collection,GreenTech Recycle,In Progress,Mechanical,Yes,High,258.15
EW_00050,China,2020,Zhejiang,Shenzhen,Headphones,Apple,Apple 2745,3,Working,Rubber,0.45,Mercury,Municipal collection,Global Recycling Solutions,In Progress,Thermal,Yes,Low,0.9
EW_00051,Canada,2023,Alberta,Montreal,MP3 Player,LG,LG 3563,10,Non-working,Rubber,0.27,Lead,Pick-up service,GreenTech Recycle,Recycled,Hydrometallurgical,Yes,Low,0.65
EW_00052,India,2020,Karnataka,Kolkata,Smart Garage Door Opener,Razer,Razer 4220,8,Obsolete,Rubber,0.5,Brominated Flame Retardants,Retail take-back,Eco-Friendly Disposal,Pending,Mechanical,Yes,Low,1.1
EW_00053,Canada,2024,Quebec,Edmonton,Desktop Computer,Toshiba,Toshiba 1053,8,Damaged,Ceramic,5.02,Mercury,Pick-up service,Green Future Recycling,Disposed,Hydrometallurgical,Yes,High,30.12
EW_00054,India,2023,Karnataka,Mumbai,Smart Coffee Maker,Samsung,Samsung 1947,2,Obsolete,Rubber,1.5,Mercury,Retail take-back,Green Future Recycling,Disposed,Pyrometallurgical,No,Low,3.3
EW_00055,China,2024,Guangdong,Beijing,MP3 Player,Amazon,Amazon 9222,1,Working,Glass,0.26,Brominated Flame Retardants,Pick-up service,Sustainable Materials Recovery,Disposed,Mechanical,Yes,Low,0.52
EW_00056,Brazil,2024,Rio de Janeiro,SÃ£o Paulo,Charger,Panasonic,Panasonic 2415,7,Obsolete,Ceramic,0.17,Cadmium,Pick-up service,Eco-Friendly Disposal,In Progress,Mechanical,No,Low,0.37
EW_00057,Japan,2020,Aichi,Tokyo,Smart Water Leak Detector,BlackBerry,BlackBerry 9324,7,Damaged,Plastic,0.16,Mercury,Municipal collection,Global Recycling Solutions,Recycled,Mechanical,Yes,Medium,0.48
EW_00058,France,2022,ÃŽle-de-France,Lyon,Mobile Phone,Sony,Sony 1335,1,Damaged,Mixed,0.16,None,Retail take-back,Eco-Friendly Disposal,Disposed,Mechanical,No,Medium,0.72
EW_00059,USA,2022,Florida,New York,Smart Light Bulb,Oppo,Oppo 2671,3,Non-working,Mixed,0.29,None,Drop-off center,Green Future Recycling,Recycled,Hydrometallurgical,Yes,Low,0.7
EW_00060,Japan,2021,Fukuoka,Osaka,Smart Coffee Maker,Lenovo,Lenovo 8788,10,Repairable,Mixed,1.66,Mercury,Retail take-back,Eco-Friendly Disposal,Disposed,Pyrometallurgical,Yes,Low,3.32
EW_00061,Germany,2021,North Rhine-Westphalia,Hamburg,USB Drive,Nokia,Nokia 7888,9,Obsolete,Rubber,0.08,Mercury,Retail take-back,EcoRecyclers Inc.,Pending,Pyrometallurgical,Yes,Low,0.18
EW_00062,China,2023,Beijing,Shanghai,Fax Machine,Asus,Asus 7360,1,Non-working,Rubber,5.3,Brominated Flame Retardants,Pick-up service,Green Future Recycling,Pending,Mechanical,No,Medium,12.72
EW_00063,France,2024,Auvergne-RhÃ´ne-Alpes,Bordeaux,Speakers,MSI,MSI 5825,5,Working,Mixed,2.36,None,Municipal collection,EcoTech Recycling,Recycled,Chemical,Yes,Low,4.72
EW_00064,Australia,2022,Victoria,Brisbane,Smart Plug,Motorola,Motorola 9846,7,Repairable,Rubber,0.25,Mercury,Drop-off center,Global Recycling Solutions,Pending,Mechanical,Yes,Low,0.5
EW_00065,China,2024,Sichuan,Guangzhou,Charger,OnePlus,OnePlus 6737,4,Repairable,Ceramic,0.25,Mercury,Retail take-back,Sustainable Waste Management,In Progress,Thermal,No,Low,0.5
EW_00066,Australia,2024,Western Australia,Brisbane,Smart Plug,BlackBerry,BlackBerry 7963,7,Obsolete,Rubber,0.25,Cadmium,Pick-up service,Sustainable Waste Management,In Progress,Mechanical,Yes,Low,0.55
EW_00067,UK,2022,Liverpool,Birmingham,Camera,HTC,HTC 2305,10,Obsolete,Ceramic,0.69,Lead,Municipal collection,Sustainable Materials Recovery,Recycled,Chemical,Yes,Low,1.52
EW_00068,Japan,2024,Aichi,Tokyo,Drone,Motorola,Motorola 8776,8,Obsolete,Metal,1.77,Mercury,Drop-off center,Eco-Friendly Disposal,In Progress,Chemical,No,Low,3.89
EW_00069,India,2020,Delhi,Kolkata,Router,Lenovo,Lenovo 4145,3,Non-working,Mixed,0.58,None,Pick-up service,Eco-Friendly Disposal,In Progress,Mechanical,Yes,Low,1.39
EW_00070,China,2021,Guangdong,Chengdu,Smart Coffee Maker,Panasonic,Panasonic 2616,7,Non-working,Glass,1.18,Lead,Municipal collection,Sustainable Waste Management,In Progress,Pyrometallurgical,No,Low,2.83
EW_00071,Japan,2022,Aichi,Yokohama,Keyboard,Gateway,Gateway 7008,5,Non-working,Metal,0.55,Lead,Retail take-back,Global Recycling Solutions,Disposed,Pyrometallurgical,No,Low,1.32
EW_00072,Australia,2021,Victoria,Adelaide,Mouse,Acer,Acer 9905,7,Obsolete,Rubber,0.29,Lead,Retail take-back,Green Earth Recycling,Recycled,Mechanical,Yes,Low,0.64
EW_00073,Brazil,2020,Minas Gerais,Rio de Janeiro,Smart Refrigerator,Apple,Apple 1786,7,Damaged,Ceramic,95.84,None,Municipal collection,GreenTech Recycle,Pending,Pyrometallurgical,Yes,High,575.04
EW_00074,China,2023,Shanghai,Beijing,Projector,Vivo,Vivo 6026,1,Working,Glass,2.67,Brominated Flame Retardants,Retail take-back,Green Future Recycling,Disposed,Pyrometallurgical,No,Low,5.34
EW_00075,France,2021,Provence-Alpes-CÃ´te d'Azur,Marseille,Smart Home Device,Lenovo,Lenovo 9280,1,Damaged,Metal,0.3,Lead,Pick-up service,Green Future Recycling,Recycled,Thermal,Yes,Medium,0.9
EW_00076,UK,2024,Liverpool,Birmingham,Router,HTC,HTC 5768,9,Repairable,Metal,0.5,Mercury,Retail take-back,EcoRecyclers Inc.,In Progress,Pyrometallurgical,Yes,Low,1
EW_00077,France,2020,ÃŽle-de-France,Toulouse,Tablet,Nokia,Nokia 6494,3,Repairable,Rubber,0.42,Cadmium,Pick-up service,Sustainable Electronics,Pending,Pyrometallurgical,Yes,Low,1.26
EW_00078,UK,2021,Liverpool,Liverpool,GPS Device,Lenovo,Lenovo 1963,8,Damaged,Metal,0.34,Lead,Pick-up service,Global Recycling Solutions,Pending,Mechanical,No,Medium,1.02
EW_00079,Japan,2023,Osaka,Sapporo,Smart Thermostat,Microsoft,Microsoft 4007,5,Damaged,Plastic,0.49,Cadmium,Retail take-back,GreenTech Recycle,Pending,Mechanical,Yes,Medium,1.47
EW_00080,Japan,2020,Tokyo,Tokyo,Smart Thermostat,ZTE,ZTE 5450,9,Obsolete,Plastic,0.46,Brominated Flame Retardants,Municipal collection,Green Earth Recycling,Recycled,Hydrometallurgical,No,Low,1.01
EW_00081,China,2024,Zhejiang,Guangzhou,Smart Lock,Amazon,Amazon 7727,1,Non-working,Mixed,0.34,Lead,Pick-up service,Sustainable Waste Management,Disposed,Thermal,No,Low,0.82
EW_00082,Japan,2021,Fukuoka,Nagoya,Desktop Computer,Razer,Razer 2933,3,Non-working,Mixed,8.43,Cadmium,Drop-off center,Eco-Friendly Disposal,In Progress,Thermal,No,High,40.46
EW_00083,USA,2020,Illinois,Los Angeles,Smart Garage Door Opener,Motorola,Motorola 9780,4,Working,Rubber,0.72,None,Pick-up service,Sustainable Waste Management,In Progress,Pyrometallurgical,Yes,Low,1.44
EW_00084,Australia,2021,South Australia,Melbourne,Smart Plug,Oppo,Oppo 2973,10,Repairable,Glass,0.21,Lead,Drop-off center,Sustainable Materials Recovery,Recycled,Chemical,No,Low,0.42
EW_00085,Japan,2021,Tokyo,Tokyo,Smart Garage Door Opener,Samsung,Samsung 4945,7,Damaged,Plastic,0.74,Brominated Flame Retardants,Municipal collection,GreenTech Recycle,Disposed,Mechanical,Yes,Medium,2.22
EW_00086,India,2020,Delhi,Mumbai,Projector,HTC,HTC 9277,2,Repairable,Ceramic,2.88,Mercury,Drop-off center,EcoTech Recycling,Pending,Chemical,Yes,Low,5.76
EW_00087,Canada,2022,Ontario,Montreal,Digital Clock,Huawei,Huawei 5512,9,Damaged,Rubber,0.19,None,Pick-up service,Green Future Recycling,Pending,Pyrometallurgical,No,Medium,0.57
EW_00088,Canada,2020,British Columbia,Calgary,Smart Plug,OnePlus,OnePlus 3524,5,Obsolete,Rubber,0.21,Cadmium,Pick-up service,EcoRecyclers Inc.,Recycled,Chemical,Yes,Low,0.46
EW_00089,Japan,2023,Hokkaido,Nagoya,Game Console,Toshiba,Toshiba 2319,3,Damaged,Ceramic,2.01,Cadmium,Pick-up service,Sustainable Electronics,Disposed,Hydrometallurgical,No,Medium,6.03
EW_00090,Australia,2020,Western Australia,Brisbane,External Hard Drive,Apple,Apple 7828,7,Repairable,Ceramic,0.72,Mercury,Municipal collection,Sustainable Electronics,Pending,Chemical,No,Low,1.44
EW_00091,Germany,2024,North Rhine-Westphalia,Berlin,Charger,LG,LG 5241,9,Damaged,Plastic,0.13,None,Retail take-back,Green Future Recycling,Pending,Thermal,Yes,Medium,0.39
EW_00092,Germany,2024,Bavaria,Berlin,External Hard Drive,LG,LG 7350,8,Repairable,Mixed,0.7,None,Pick-up service,GreenTech Recycle,Pending,Thermal,Yes,Low,1.4
EW_00093,Australia,2023,South Australia,Brisbane,Mobile Phone,Lenovo,Lenovo 3154,2,Damaged,Mixed,0.23,Brominated Flame Retardants,Municipal collection,Eco-Friendly Disposal,Pending,Chemical,Yes,Medium,1.04
EW_00094,India,2022,Karnataka,Chennai,Game Console,BlackBerry,BlackBerry 3257,3,Damaged,Mixed,1.48,None,Municipal collection,Sustainable Electronics,Pending,Thermal,Yes,Medium,4.44
EW_00095,France,2021,Occitanie,Lyon,Radio,OnePlus,OnePlus 4244,10,Repairable,Ceramic,0.62,Mercury,Retail take-back,Green Earth Recycling,Recycled,Hydrometallurgical,Yes,Low,1.24
EW_00096,Japan,2023,Fukuoka,Osaka,Smart Coffee Maker,MSI,MSI 2492,5,Obsolete,Plastic,1.8,None,Municipal collection,GreenTech Recycle,In Progress,Pyrometallurgical,No,Low,3.96
EW_00097,Australia,2020,Western Australia,Perth,Printer,Lenovo,Lenovo 2896,2,Non-working,Ceramic,6.03,Cadmium,Pick-up service,Eco-Friendly Disposal,In Progress,Thermal,Yes,Medium,14.47
EW_00098,Japan,2022,Aichi,Sapporo,Keyboard,MSI,MSI 2533,1,Damaged,Rubber,0.76,Cadmium,Retail take-back,EcoTech Recycling,Recycled,Hydrometallurgical,Yes,Medium,2.28
EW_00099,UK,2024,London,Birmingham,Mobile Phone,Nokia,Nokia 7094,5,Working,Metal,0.12,Brominated Flame Retardants,Retail take-back,Sustainable Waste Management,Pending,Hydrometallurgical,Yes,Low,0.36
EW_00100,Canada,2022,Manitoba,Toronto,Tablet,ZTE,ZTE 8797,3,Non-working,Mixed,0.72,Brominated Flame Retardants,Pick-up service,Sustainable Waste Management,In Progress,Mechanical,Yes,Medium,2.59
EW_00101,Germany,2021,Hamburg,Munich,Smart Plug,Panasonic,Panasonic 9550,8,Obsolete,Plastic,0.2,Mercury,Drop-off center,Green Future Recycling,Pending,Hydrometallurgical,No,Low,0.44
EW_00102,France,2024,Auvergne-RhÃ´ne-Alpes,Paris,Smart Scale,Toshiba,Toshiba 4630,4,Obsolete,Mixed,0.47,Mercury,Municipal collection,Global Recycling Solutions,Disposed,Thermal,Yes,Low,1.03
EW_00103,France,2021,Auvergne-RhÃ´ne-Alpes,Paris,Router,Dell,Dell 8412,7,Non-working,Plastic,0.57,Lead,Retail take-back,Eco-Friendly Disposal,Recycled,Thermal,Yes,Low,1.37
EW_00104,Brazil,2023,Rio de Janeiro,Belo Horizonte,Smart Garage Door Opener,ZTE,ZTE 4539,9,Obsolete,Rubber,0.84,None,Retail take-back,Sustainable Electronics,In Progress,Thermal,No,Low,1.85
EW_00105,Germany,2023,Bavaria,Hamburg,Smart Garage Door Opener,Asus,Asus 5139,6,Working,Rubber,0.57,Mercury,Municipal collection,Sustainable Electronics,Recycled,Pyrometallurgical,No,Low,1.14
EW_00106,India,2021,Karnataka,Delhi,Smart Plug,Razer,Razer 8922,2,Non-working,Mixed,0.11,Cadmium,Pick-up service,Eco-Friendly Disposal,Recycled,Thermal,Yes,Low,0.26
EW_00107,Germany,2024,North Rhine-Westphalia,Frankfurt,Charger,Google,Google 1491,10,Working,Ceramic,0.23,Brominated Flame Retardants,Pick-up service,Sustainable Materials Recovery,In Progress,Mechanical,No,Low,0.46
EW_00108,Germany,2022,Hesse,Frankfurt,Game Console,Oppo,Oppo 2676,3,Damaged,Glass,1.57,None,Retail take-back,Global Recycling Solutions,Pending,Mechanical,No,Medium,4.71
EW_00109,India,2020,Maharashtra,Kolkata,Desktop Computer,BlackBerry,BlackBerry 6610,6,Repairable,Plastic,9.09,Lead,Drop-off center,Global Recycling Solutions,Recycled,Thermal,No,Medium,36.36
EW_00110,Canada,2021,Quebec,Vancouver,Power Bank,Toshiba,Toshiba 8899,10,Non-working,Plastic,0.2,None,Pick-up service,Green Earth Recycling,Pending,Thermal,No,Low,0.48
EW_00111,Brazil,2024,ParanÃ¡,Belo Horizonte,Smart Garage Door Opener,Vivo,Vivo 9692,6,Damaged,Rubber,0.58,Mercury,Retail take-back,Green Earth Recycling,Pending,Thermal,Yes,Medium,1.74
EW_00112,France,2024,ÃŽle-de-France,Paris,Smart Dishwasher,Xiaomi,Xiaomi 8248,10,Obsolete,Metal,46.63,Lead,Drop-off center,Global Recycling Solutions,Disposed,Hydrometallurgical,Yes,Medium,102.59
EW_00113,Japan,2024,Aichi,Nagoya,GPS Device,HP,HP 5025,10,Non-working,Rubber,0.36,Lead,Drop-off center,Sustainable Waste Management,Pending,Hydrometallurgical,No,Low,0.86
EW_00114,USA,2022,New York,Chicago,Smart Sprinkler Controller,Amazon,Amazon 9240,4,Obsolete,Ceramic,0.44,None,Retail take-back,Green Future Recycling,Recycled,Mechanical,Yes,Low,0.97
EW_00115,Australia,2021,Victoria,Sydney,E-reader,Nokia,Nokia 5762,5,Working,Metal,0.28,None,Retail take-back,Sustainable Waste Management,Pending,Hydrometallurgical,Yes,Low,0.56
EW_00116,India,2023,Maharashtra,Delhi,Smart Lock,Toshiba,Toshiba 3324,1,Damaged,Plastic,0.79,Cadmium,Drop-off center,GreenTech Recycle,Recycled,Pyrometallurgical,Yes,Medium,2.37
EW_00117,Australia,2021,New South Wales,Sydney,Smart Coffee Maker,Razer,Razer 4812,1,Obsolete,Rubber,1.24,Mercury,Retail take-back,Sustainable Waste Management,In Progress,Mechanical,No,Low,2.73
EW_00118,Japan,2020,Aichi,Tokyo,Tablet,LG,LG 1379,10,Non-working,Ceramic,0.42,Cadmium,Municipal collection,EcoRecyclers Inc.,Disposed,Hydrometallurgical,Yes,Medium,1.51
EW_00119,Germany,2020,Bavaria,Munich,Keyboard,Vivo,Vivo 3129,6,Working,Glass,0.76,None,Retail take-back,Eco-Friendly Disposal,In Progress,Mechanical,No,Low,1.52
EW_00120,China,2022,Shanghai,Shanghai,Smart Garage Door Opener,HP,HP 7387,4,Working,Ceramic,0.71,Brominated Flame Retardants,Municipal collection,Green Earth Recycling,In Progress,Chemical,Yes,Low,1.42
EW_00121,China,2024,Guangdong,Beijing,Tablet,Oppo,Oppo 3715,1,Non-working,Ceramic,0.76,None,Municipal collection,Green Earth Recycling,Disposed,Mechanical,Yes,Medium,2.74
EW_00122,Japan,2024,Osaka,Sapporo,Charger,Huawei,Huawei 1472,10,Obsolete,Mixed,0.1,Lead,Retail take-back,EcoRecyclers Inc.,Recycled,Mechanical,Yes,Low,0.22
EW_00123,Canada,2022,Quebec,Edmonton,CD/DVD Player,Gateway,Gateway 1416,7,Non-working,Metal,1.47,Brominated Flame Retardants,Pick-up service,Sustainable Waste Management,Disposed,Thermal,No,Low,3.53
EW_00124,Germany,2021,Hesse,Berlin,Smart Dishwasher,HTC,HTC 4093,7,Damaged,Mixed,43.03,None,Municipal collection,GreenTech Recycle,Pending,Thermal,No,High,129.09
EW_00125,Australia,2024,New South Wales,Perth,Smart Home Device,MSI,MSI 5423,10,Damaged,Metal,0.17,Mercury,Municipal collection,Sustainable Waste Management,In Progress,Pyrometallurgical,No,Medium,0.51
EW_00126,UK,2024,London,Glasgow,Smart Coffee Maker,ZTE,ZTE 5754,5,Repairable,Ceramic,1.53,Lead,Municipal collection,EcoRecyclers Inc.,Disposed,Thermal,No,Low,3.06
EW_00127,Canada,2022,Manitoba,Vancouver,Smart Door Sensor,HP,HP 5520,3,Damaged,Plastic,0.18,Cadmium,Retail take-back,Sustainable Waste Management,Disposed,Thermal,Yes,Medium,0.54
EW_00128,Germany,2022,Hamburg,Frankfurt,Smart Door Sensor,HTC,HTC 9066,7,Repairable,Glass,0.1,None,Pick-up service,Sustainable Materials Recovery,Disposed,Thermal,Yes,Low,0.2
